unidade;mes;ano;porte;quantidade
HOGV;Agosto;2016;PORTE III (4 A 5 HORAS);74
HOGV;Setembro;2016;PORTE I (0 A 2 HORAS);124
HOGV;Setembro;2016;PORTE II ( 2 A 4 HORAS);50
HOGV;Setembro;2016;PORTE III (4 A 5 HORAS);62
HOGV;Outubro;2016;PORTE I (0 A 2 HORAS);108
HOGV;Outubro;2016;PORTE II ( 2 A 4 HORAS);49
HOGV;Outubro;2016;PORTE III (4 A 5 HORAS);80
HOGV;Novembro;2016;PORTE I (0 A 2 HORAS);112
HOGV;Novembro;2016;PORTE II ( 2 A 4 HORAS);65
HOGV;Novembro;2016;PORTE III (4 A 5 HORAS);60
HOGV;Dezembro;2016;PORTE I (0 A 2 HORAS);91
HOGV;Dezembro;2016;PORTE II ( 2 A 4 HORAS);42
HOGV;Dezembro;2016;PORTE III (4 A 5 HORAS);84
HRAD;Janeiro;2016;PORTE I (0 A 2 HORAS);245
HRAD;Janeiro;2016;PORTE II ( 2 A 4 HORAS);39
HRAD;Janeiro;2016;PORTE III (4 A 5 HORAS);2
HRAD;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);1
HRAD;Fevereiro;2016;PORTE I (0 A 2 HORAS);253
HRAD;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);27
HRAD;Fevereiro;2016;PORTE III (4 A 5 HORAS);5
HRAD;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Março;2016;PORTE I (0 A 2 HORAS);287
HRAD;Março;2016;PORTE II ( 2 A 4 HORAS);50
HRAD;Março;2016;PORTE III (4 A 5 HORAS);3
HRAD;Março;2016;PORTE IV (ACIMA 6 HORAS);3
HRAD;Abril;2016;PORTE I (0 A 2 HORAS);265
HRAD;Abril;2016;PORTE II ( 2 A 4 HORAS);39
HRAD;Abril;2016;PORTE III (4 A 5 HORAS);1
HRAD;Abril;2016;PORTE IV (ACIMA 6 HORAS);1
HRAD;Maio;2016;PORTE I (0 A 2 HORAS);254
HRAD;Maio;2016;PORTE II ( 2 A 4 HORAS);24
HRAD;Maio;2016;PORTE III (4 A 5 HORAS);5
HRAD;Maio;2016;PORTE IV (ACIMA 6 HORAS);1
HRAD;Junho;2016;PORTE I (0 A 2 HORAS);277
HRAD;Junho;2016;PORTE II ( 2 A 4 HORAS);31
